Common Name,Right Ascension (HH.MM.SS),Declination (DD.SS)
Pipirima,16.52.200002483441,-38.01029684489094
Pipit,06.37.450020662639,-43.114501111443936
Pipoltr,17.53.101858073009,37.32462573064691
Pleione,03.49.1121726647,24.081211612403038
Poerava,23.31.203384859188,-58.123507703551354
Polaris,02.31.469790906188,89.15499519537059
Polaris Australis,21.08.468209585606,-88.5723419295698
Polis,18.13.450005376406,-21.033098386227152
Pollux,07.45.190003378578,28.013400349780884
Porrima,12.41.400009787857,-1.2657951178054971
Praecipua,10.53.18000462821,34.12530387827405
Prima Hyadum,04.19.470007503233,15.37389632957137
Procyon,07.39.180008658553,5.133900219015693
Propus,06.14.52000507807,22.30239840924914
Proxima Centauri,14.29.429463757716,-62.40461118343517
Quadrans,15.03.472971453004,47.39146685066689
Ramus,18.08.454928133832,20.485242506211296
Ran,03.32.55001073792,-9.272904280229282
Rana,03.43.140010833786,-9.45360416052735
Rapeto,17.04.308707462355,-43.183513664676106
Rasalas,09.52.450005000699,26.002402924056117
Rasalgethi,17.14.380012261581,14.232502764705417
Rasalhague,17.34.560012032613,12.333802386473408
Rasalnaqa,23.39.220014912673,43.160501573141794
Rastaban,17.30.250023132454,52.18050247235356
Regulus,10.08.220007847771,11.580103192524147
Revati,01.13.438009837659,7.343185022132585
Rhombus,04.14.250024773788,-62.28250374855038
Rigel,05.14.320011155181,-8.12050276651737
Rigil Kentaurus,14.39.400003331003,-60.50059524446236
Rosalíadecastro,16.32.510520041232,2.0505414718776698
Rotanev,20.37.320012662547,14.354198535091435
Ruchbah,01.25.49001004454,60.14059501127251
Rukbat,19.23.529999557482,-40.36589988347814
Sabik,17.10.220007016154,-15.432997158457967
Saclateni,05.02.280001374012,41.043297018809874
Sadachbia,22.21.390009545407,-1.2314034092644592
Sadalbari,22.50.13204554,24.360496167321486
Sadalmelik,22.05.470009702356,-0.19110314910400303
Sadalsuud,21.31.330008769441,-5.3416025381350005
Sadr,20.22.130019566618,40.152398856869375
Safina,23.09.26000708611,-21.10200408944045
Sagarmatha,11.35.515242375968,-4.452046068883161
Saiph,05.47.450011524657,-9.40100213784167
Salm,23.20.382431296323,23.442516755771603
Sansuna,20.12.470013568016,18.061799057680755
Sargas,17.37.190000011095,-42.59519765921927
Sarin,17.15.100014283307,24.50180275503286
Sceptrum,04.38.100011954639,-14.181403387841232
Scheat,23.03.460013515901,28.045795982473095
Schedar,00.40.300013525772,56.32129512310253
Secunda Hyadum,04.22.560007165986,17.32319637636577
Segin,01.54.237348013435,63.40123106075053
Seginus,14.32.400012306508,38.18280479940943
Sham,19.40.579198620072,18.00500020477174
Shama,11.24.173599875817,-1.3144627340038322
Shaomin,10.32.480008386095,9.182303582385765
Sharjah,16.12.417801208414,-18.52317739683934
Shaula,17.33.360001816877,-37.06129758807645
Sheliak,18.50.400017462649,33.214500835696356
Sheratan,01.54.380009238677,20.482895041320273
Shimu,00.47.203270709841,24.160179093856968
Sika,19.22.529852092862,-32.550858861709955
Sirius,06.46.300013201973,-16.424700924979696
Situla,22.37.453819144508,-4.13410365664279
Skat,22.54.390007660678,-15.491403896695578
Solaris,21.13.359914096945,14.412176385731156
Solitaire,14.50.173022167725,-27.57372916949072
Spica,13.25.110009774853,-11.093995011497304
Stellio,22.31.170019792426,50.16569644067334
Sterrennacht,23.39.581044729283,42.2757460671151
Stribor,08.53.50805487209,33.032453860400274
Sualocin,20.39.38001290817,15.544298491451801
Subra,09.42.200008052097,9.53310273735699
Suhail,09.07.590019970147,-43.25569791618957
Sulafat,18.58.560017269658,32.412200657769596
Syrma,14.17.268009470528,-6.000192120699376
Sāmaya,21.39.240404561655,-31.441496533757586
Tabit,04.49.500008673911,6.573996802918862
Taika,22.22.308776746699,45.27264817319442
Taiyangshou,11.46.20000406818,47.46460449475591
Taiyi,12.55.285506068881,65.26185572524801
Talitha,08.59.10999743589,48.022701908251285
Tangra,23.09.582511985697,18.234585903867377
Tania Australis,10.22.190002074779,41.29580341984644
Tania Borealis,10.17.500001585509,42.54520334813
Tapecue,07.47.497226254168,-54.15509159568939
Tarazed,19.46.150011917368,10.364699629953485
Tarf,08.16.30000785376,9.110701021646834
Taygeta,03.45.124964513333,24.28021683335626
Tegmine,08.12.127006049939,17.385200930095113
Tejat,06.22.57000502516,22.304898576992976
Tengshe,22.56.260002285269,49.44007194917726
Terebellum,19.55.503629387155,-26.175769907846185
Tevel,07.20.404565689276,37.08263411365016
Theemin,04.35.320014822172,-30.334403429701464
Thuban,14.04.230013521053,64.22320493072691
Tiaki,22.42.400001339847,-46.530403728523886
Tianfu,20.05.231511219724,7.1640662162882895
Tianguan,05.37.380005653495,21.08319766530947
Tianyi,12.47.343452061005,66.4725146770651
Timir,16.28.281517748478,-13.235865460255953
Tislit,08.25.210848492972,-11.300453892010093
Titawin,01.36.504056985196,41.23320729346292
Tojil,03.31.163279499842,-23.491088358578505
Toliman,14.39.390003332053,-60.502195244352635
Tonatiuh,12.05.151163804417,76.54206895801917
Torcular,01.45.236328098336,9.092780323111326
Tuiren,12.33.390616902789,44.54552444325616
Tupi,03.39.430978159564,-52.54570594227091
Tupã,12.25.462690448938,-64.01194680079698
Tureis,08.07.320015035222,-24.181399170152872
Tusizuo,18.23.42001424949,21.4607014073501
Udkadua,23.37.340015594331,46.27219559135231
Ukdah,09.39.510009924008,-1.0834973080013781
Uklun,11.44.504626903055,-58.42133131944072
Unukalhai,15.44.160010462427,6.253204148069244
Uridim,14.41.550005696449,-47.23169525950821
Uruk,19.32.416105230545,16.282744234739503
Uúba,23.54.402079165491,-37.37405701054358
Vega,18.36.560018999784,38.46580112876886
Veritate,23.31.174147030239,39.14102712697082
Vindemiatrix,13.02.100009469946,10.573304954521044
Wasat,07.21.100004998798,21.585599824362383
Wattle,09.53.400785141189,-45.39330277977522
Wazn,05.50.570017488398,-35.45590207469079
Wezen,07.08.230015609699,-26.233500453338916
