Common Name,Right Ascension (HH.MM.SS),Declination (DD.SS),"Magnitude (V, Visual)",Proper Motion Speed (mas/yr),Proper Motion Angle (DD.SS),Proper Motion RA (mas/yr),Proper Motion DEC (mas/yr),Alternative Names,URL
Sceptrum,04.38.10,-14.1814,3.9,192.7,203.4,-76.5304,-176.8513,"l-Eri, l Eridani, 53-Eri, 53 Eridani, HR 1481, HD 29503, HIP 21594, TYC 5327-1434-1",https://in-the-sky.org/data/object.php?id=TYC5327-1434-1
Scheat,23.03.46,28.0458,2.48,232.3,53.9,187.6961,136.8703,"Scheat, β-Peg, Beta Pegasi, 53-Peg, 53 Pegasi, HR 8775, HD 217906, HIP 113881, TYC 2243-1831-1",https://in-the-sky.org/data/object.php?id=TYC2243-1831-1
Schedar,00.40.30,56.3213,2.25,58.4,122.7,49.1442,-31.55,"Schedar, α-Cas, Alpha Cassiopeiae, 18-Cas, 18 Cassiopeiae, HR 168, HD 3712, HIP 3179, TYC 3663-2668-1, Gaia EDR3- 418551920284673408",https://in-the-sky.org/data/object.php?id=TYC3663-2668-1
Secunda Hyadum,04.22.56,17.3232,3.76,109.8,104.6,106.2545,-27.6772,"δ-Tau, Delta Tauri, 61-Tau, 61 Tauri, HR 1373, HD 27697, NSV 1582, HIP 20455, TYC 1268-1267-1, Gaia EDR3- 3314024566919613952",https://in-the-sky.org/data/object.php?id=TYC1268-1267-1
Segin,01.54.2373409,63.40123602,3.37,34.8349,211.8591,29.587,-18.387,"Segin, Epsilon Cas, ε Cas, 45 Cassiopeiae, BD+62 320, FK5 63, HD 11415, HIP 8886, HR 542, SAO 12031",https://en.wikipedia.org/wiki/Epsilon_Cassiopeiae
Seginus,14.32.04,38.1828,3.04,190.4,322.6,-115.6444,151.2565,"Seginus, γ-Boo, Gamma Bootis, 27-Boo, 27 Bootis, HR 5435, HD 127762, HIP 71075, TYC 3036-1151-1",https://in-the-sky.org/data/object.php?id=TYC3036-1151-1
Sham,19.40.0579185,18.00500046,4.38,24.9091,234.0318,14.63,-20.16,"Sham, Alsahm, α Sge, 5 Sagittae, BD+17°4042, FK5 1133, GC 27215, HD 185758, HIP 96757, HR 7479, SAO 105120, PPM 136737, CCDM J19401+1801A, WDS J19401+1801A",https://en.wikipedia.org/wiki/Alpha_Sagittae
Shama,11.24.17359,-1.314467,9.1,239.539,228.2425,-178.689,-159.528,"Shama, BD−00°2437, HD 99109, HIP 55664, SAO 138182",https://en.wikipedia.org/wiki/HD_99109
Shaomin,10.32.48,9.1823,3.82,7.2,242.5,-6.3865,-3.3246,"ρ-Leo, Rho Leonis, 47-Leo, 47 Leonis, HR 4133, HD 91316, HIP 51624, TYC 838-1485-1, Gaia EDR3- 3870025847369674624",https://in-the-sky.org/data/object.php?id=TYC838-1485-1
Sharjah,16.12.4177941,-18.52318117,11.34,217.1062,260.3356,36.447,-214.025,"Sharjah, HIP 79431, LP 804-27, NLTT 42226",https://en.wikipedia.org/wiki/HIP_79431
