Common Name,Right Ascension (HH.MM.SS),Declination (DD.SS),"Magnitude (V, Visual)",Proper Motion Speed (mas/yr),Proper Motion Angle (DD.SS),Proper Motion RA (mas/yr),Proper Motion DEC (mas/yr),Alternative Names,URL
Fafnir,18.25.5913696,65.33485313,4.82,109.1684,194.2358,105.816,-26.846,"Fafnir, BD+65°1271, GC 25212, HD 170693, HIP 90344, HR 6945, SAO 17888, PPM 20916, GCRV 10941",https://en.wikipedia.org/wiki/42_Draconis
Fang,15.58.51,-26.0651,2.89,29.0,205.3,-12.3934,-26.2184,"π-Sco, Pi Scorpii, 6-Sco, 6 Scorpii, HR 5944, HD 143018, NSV 7371, HIP 78265, TYC 6783-2697-1, Gaia EDR3- 6235406071207202688",https://in-the-sky.org/data/object.php?id=TYC6783-2697-1
Fawaris,19.44.58,45.0751,2.91,63.2,41.5,41.8776,47.334,"δ-Cyg, Delta Cygni, 18-Cyg, 18 Cygni, HR 7528, HD 186882, NSV 12380, HIP 97165, TYC 3557-2486-1, Gaia EDR3- 2079784488001577600",https://in-the-sky.org/data/object.php?id=TYC3557-2486-1
Felis,09.54.522045,-19.003362,4.94,60.7995,228.2869,-45.386,-40.456,"Felis, 183 G. Hydrae, BD−18° 2810, FK5 373, GC 13644, HIP 48615, HR 3923, SAO 155588",https://en.wikipedia.org/wiki/HD_85951
Felixvarela,00.28.34306,-16.133484,9.62,421.8571,237.2853,-354.939,-227.995,"Felixvarela, HIP 2247, SAO 147293, PPM 208851, 2MASS J00283433-1613343",https://en.wikipedia.org/wiki/BD%E2%88%9217_63
Filetdor,09.39.3003,-20.585671,9.351,56.1557,11.22,-55.0824,10.9266,"Filetdor, WASP-166",https://exoplanetarchive.ipac.caltech.edu/overview/WASP-166
Flegetonte,11.45.4229278,2.49173262,8.07,220.1843,239.0001,-188.735,-113.403,"BD+03°2549, HD 102195, HIP 57370, HR 4293, SAO 119033, LTT 13232, NLTT 28458",https://en.wikipedia.org/wiki/HD_102195
Fomalhaut,22.57.38,-29.3718,1.23,367.9,116.6,328.9593,-164.7306,"Fomalhaut, α-PsA, Alpha Piscis Austrini, 24-PsA, 24 Piscis Austrini, HR 8728, HD 216956, NSV 14372, HIP 113368, TYC 6977-1267-1",https://in-the-sky.org/data/object.php?id=TYC6977-1267-1
Formosa,11.35.0375320,20.2629563,6.45,59.9053,269.0473,-59.897,-0.996,"Formosa, BD+21°2331, HD 100655, HIP 56508, HR 4459, SAO 81886, 2MASS J11350375+2026295",https://en.wikipedia.org/wiki/HD_100655
Franz,17.20.27886,38.1431802,3.2,7.0804,250.6156,2.35,-6.679,"Franz, HAT-P-14, BD+38 2917",https://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HAT-P-14&submit=SIMBAD+search
Fulu,00.36.58,53.5348,3.68,19.9,118.6,17.4719,-9.526,"ζ-Cas, Zeta Cassiopeiae, 17-Cas, 17 Cassiopeiae, HR 153, HD 3360, NSV 225, HIP 2920, TYC 3654-2132-1, Gaia EDR3- 418001477279154304",https://in-the-sky.org/data/object.php?id=TYC3654-2132-1
Fumalsamakah,23.03.5261349,3.49121662,4.4,15.3401,219.949,11.76,-9.85,"Fumalsamakah, Beta Psc, β Psc, 4 Psc, BD+03°4818, FK5 1602, HD 217891, HIP 113889, HR 8773, SAO 127934",https://en.wikipedia.org/wiki/Beta_Piscium
Funi,12.32.0756,74.29228,8.75,176.8947,254.7798,-170.69,-46.44,"Funi, HD 109246, TYC 4400-99-1, HIP 61177, BD+75 474",https://www.universeguide.com/star/61177/hd109246
Furud,06.20.18,-30.0348,3.02,7.4,55.1,6.0691,4.2339,"Furud, ζ-CMa, Zeta Canis Majoris, 1-CMa, 1 Canis Majoris, HR 2282, HD 44402, NSV 2927, HIP 30122, TYC 7073-2426-1, Gaia EDR3- 2896572746685604480",https://in-the-sky.org/data/object.php?id=TYC7073-2426-1
Fuyue,17.49.51,-37.0235,3.19,48.9,56.1,40.5876,27.2737,"G-Sco, G Scorpii, HR 6630, HD 161892, HIP 87261, TYC 7389-2159-1",https://in-the-sky.org/data/object.php?id=TYC7389-2159-1
Gacrux,12.31.09,-57.0645,1.65,266.6,173.9,28.33,-265.0905,"Gacrux, γ-Cru, Gamma Crucis, HR 4763, HD 108903, NSV 5672, HIP 61084, TYC 8654-3422-1",https://in-the-sky.org/data/object.php?id=TYC8654-3422-1
Gakyid,08.39.15803,12.573735,8.23,147.7347,230.5923,-114.147,-93.787,"Gakyid, BD+13°1956, HD 73534, HIP 42446, SAO 98004, PPM 125542",https://en.wikipedia.org/wiki/HD_73534
Gar,12.47.5662457,9.45050357,11.395,1108.257,245.4746,-1008.267,-460.034,"Gar, GJ 486, HIP 62452, Wolf 437, TOI-1827, TYC 882-1111-1, 2MASS J12475664+0945050",https://en.wikipedia.org/wiki/Gliese_486
Garnet Star,21.43.304609,58.4648166,4.08,6.5424,245.2408,2.74,-5.941,"Garnet Star, Herschel's Garnet Star, Erakis, μ Cep, HD 206936, HR 8316, BD+58°2316, HIP 107259, SAO 33693",https://en.wikipedia.org/wiki/Mu_Cephei
Geminga,06.33.5415,17.46129,25.5,178.2,54.0,144.1668,104.7433,"Geminga, SN 437, PSR B0633+17, PSR J0633+1746","https://www.researchgate.net/publication/231130533_Timing_the_Geminga_Pulsar_with_Gamma-Ray_Observations, https://www.tevcat.org/?mode=1&showsrc=317"
Giausar,11.31.24,69.1951,3.81,45.3,245.4,-41.1884,-18.8575,"λ-Dra, Lambda Draconis, 1-Dra, 1 Draconis, HR 4434, HD 100029, NSV 5231, HIP 56211, TYC 4392-1805-1, Gaia EDR3- 1061909811871141504",https://in-the-sky.org/data/object.php?id=TYC4392-1805-1
Gienah,12.15.48,-17.3231,2.59,160.1,277.8,-158.6187,21.7281,"Gienah, γ-Crv, Gamma Corvi, 4-Crv, 4 Corvi, HR 4662, HD 106625, NSV 5515, HIP 59803, TYC 6098-1754-1",https://in-the-sky.org/data/object.php?id=TYC6098-1754-1
Ginan,12.21.21,-60.2402,3.58,194.3,298.2,-171.2373,91.8166,"ε-Cru, Epsilon Crucis, HR 4700, HD 107446, NSV 5568, HIP 60260, TYC 8975-4125-1, Gaia EDR3- 6058271964884299520",https://in-the-sky.org/data/object.php?id=TYC8975-4125-1
Gloas,09.20.247145,33.5256696,10.42,20.2005,186.4664,-2.275,-20.072,"Gloas, BD+34 1976, TOI-1767, TIC 8767448, WASP-13, TYC 2496-1114-1, 2MASS J09202471+3352567, 1SWASP J092024.70+335256.6",https://en.wikipedia.org/wiki/WASP-13
Gnomon,10.19.3800889,-9.48226058,12.46,56.636,227.854,-41.992,-38.004,"Gnomon, TOI-656, TIC 36734222, WASP-43, GSC 05490-00141, 2MASS J10193800-0948225",https://en.wikipedia.org/wiki/WASP-43
Gomeisa,07.27.09,8.1721,2.89,64.4,233.5,-51.7684,-38.3066,"Gomeisa, β-CMi, Beta Canis Minoris, 3-CMi, 3 Canis Minoris, HR 2845, HD 58715, HIP 36188, TYC 764-2774-1",https://in-the-sky.org/data/object.php?id=TYC764-2774-1
Grumium,17.53.31,56.5222,3.73,122.5,49.9,93.7029,78.9051,"Grumium, ξ-Dra, Xi Draconis, 32-Dra, 32 Draconis, HR 6688, HD 163588, HIP 87585, TYC 3910-1710-1, Gaia EDR3- 1421593566062037120",https://in-the-sky.org/data/object.php?id=TYC3910-1710-1
Guahayona,14.12.3753311,4.03361166,11.76,147.7171,255.1995,37.735,-142.816,"Guahayona, Gaia DR2 3668036348641580288, TYC 320-1027-1, GSC 0320-01027, 2MASS J14123753+0403359",https://en.wikipedia.org/wiki/HAT-P-26
Gudja,15.48.4437720,18.08296337,4.09,102.7833,210.6557,-52.407,-88.419,"Gudja, κ Ser, 35 Ser, NSV 7269, BD+18 3074, FK5 584, HD 141477, HIP 77450, HR 5879, SAO 101752",https://en.wikipedia.org/wiki/Kappa_Serpentis
Gumala,19.15.332301,-24.1045671,6.25,156.6414,220.8055,118.567,-102.364,"Gumala, V5652 Sgr, CD−24° 15161, GJ 749, HD 179949, HIP 94645, HR 7291, SAO 187883",https://en.wikipedia.org/wiki/HD_179949
Guniibuu,17.15.20851,-26.360904,5.08,1252.6636,203.4552,-498.6,-1149.158,"Guniibuu, HR 6402, HD 155886, LHS 437, SAO 185198",https://en.wikipedia.org/wiki/36_Ophiuchi
Hadar,14.03.49,-60.2222,0.64,40.5,235.2,-33.2565,-23.1139,"Hadar, β-Cen, Beta Centauri, HR 5267, HD 122451, HIP 68702, TYC 9005-3919-1",https://in-the-sky.org/data/object.php?id=TYC9005-3919-1
Haedus,05.06.30,41.1403,3.17,74.5,156.5,29.7068,-68.321,"η-Aur, Eta Aurigae, 10-Aur, 10 Aurigae, HR 1641, HD 32630, NSV 1822, HIP 23767, TYC 2899-2237-1, Gaia EDR3- 201261278441958656",https://in-the-sky.org/data/object.php?id=TYC2899-2237-1
Hamal,02.07.10,23.2745,2.02,239.7,128.1,188.6283,-147.9035,"Hamal, α-Ari, Alpha Arietis, 13-Ari, 13 Arietis, HR 617, HD 12929, NSV 725, HIP 9884, TYC 1758-2416-1",https://in-the-sky.org/data/object.php?id=TYC1758-2416-1
Hassaleh,04.56.59,33.0957,2.66,18.2,167.9,3.8151,-17.7957,"ι-Aur, Iota Aurigae, 3-Aur, 3 Aurigae, HR 1577, HD 31398, NSV 1778, HIP 23015, TYC 2391-1446-1, Gaia EDR3- 160886283751041408",https://in-the-sky.org/data/object.php?id=TYC2391-1446-1
Hatysa,05.35.25,-5.5435,2.78,1.5,107.9,1.4274,-0.461,"ι-Ori, Iota Orionis, 44-Ori, 44 Orionis, HR 1899, HD 37043, NSV 2334, HIP 26241, TYC 4778-1401-1",https://in-the-sky.org/data/object.php?id=TYC4778-1401-1
Helvetios,22.57.279805,20.4607797,5.49,216.1618,73.5634,207.328,61.164,"Helvetios, 51 Peg, GJ 882, HR 8729, BD+19°5036, HD 217014, LTT 16750, GCTP 5568.00, SAO 90896, HIP 113357",https://en.wikipedia.org/wiki/51_Pegasi
Heng,13.49.30,-41.4116,3.37,33.7,230.9,-26.1528,-21.2538,"ν-Cen, Nu Centauri, HR 5190, HD 120307, HIP 67464, TYC 7797-2744-1, Gaia EDR3- 6112195451032545024",https://in-the-sky.org/data/object.php?id=TYC7797-2744-1
Heze,13.34.41,-0.3545,3.38,284.7,279.9,-280.4606,48.9482,"ζ-Vir, Zeta Virginis, 79-Vir, 79 Virginis, HR 5107, HD 118098, HIP 66249, TYC 4966-1366-1",https://in-the-sky.org/data/object.php?id=TYC4966-1366-1
Hoerikwaggo,06.10.1447261,-74.45109585,5.09,244.753,240.2108,121.596,-212.411,"Hoerikwaggo, α Men, CD−74°294, FK5 239, GJ 231, HD 43834, HIP 29271, HR 2261, SAO 256274, LTT 2490",https://en.wikipedia.org/wiki/Alpha_Mensae
Hoggar,04.31.2545,4.34311,8.38,9.6971,245.4436,4.03,-8.82,"Hoggar, HD 28678, TYC 90-645-1, HIP 21109, 04 704",https://www.universeguide.com/star/21109/hoggar
Homam,22.41.27,10.4953,3.42,78.1,98.4,77.2622,-11.4091,"Homam, ζ-Peg, Zeta Pegasi, 42-Peg, 42 Pegasi, HR 8634, HD 214923, HIP 112029, TYC 1155-2187-1",https://in-the-sky.org/data/object.php?id=TYC1155-2187-1
Honores,23.12.33004,49.242235,4.52,131.3327,43.2213,89.939,95.704,"Honores, 7 And, BD+48°3964, FK5 3852, HD 219080, HIP 114570, HR 8830, SAO 52787, PPM 63927",https://en.wikipedia.org/wiki/7_Andromedae
Horna,02.21.3198035,32.14460933,12.51,52.3338,204.3696,47.671,-21.594,"Horna, TOI-3681, TIC 285272237, GSC 02314-00559",https://en.wikipedia.org/wiki/HAT-P-38
Hunahpú,11.17.4755306,-23.58314969,8.05,131.7852,262.6931,-130.715,-16.761,"Hunahpú, CD−23 9857, HD 98219, HIP 55174, SAO 179747",https://en.wikipedia.org/wiki/HD_98219
Hunor,16.20.363576,41.0253107,8.71,30.7551,199.1284,-10.078,-29.057,"HAT-P-2, BD+41°2693, HD 147506, HIP 80076, SAO 46035",https://en.wikipedia.org/wiki/HD_147506
Iklil,15.56.53,-29.1251,3.85,29.1,215.7,-16.981,-23.6316,"ρ-Sco, Rho Scorpii, 5-Sco, 5 Scorpii, HR 5928, HD 142669, HIP 78104, TYC 6791-2509-1, Gaia EDR3- 6041076668127513984",https://in-the-sky.org/data/object.php?id=TYC6791-2509-1
Illyrian,09.35.45184,34.465067,7.63,38.846,245.1561,16.321,-35.251,"Illyrian, BD+35°2026, HD 82886, HIP 47087, SAO 61587",https://en.wikipedia.org/wiki/HD_82886
Imai,12.15.08,-58.4456,2.74,38.6,253.0,-36.9134,-11.2855,"δ-Cru, Delta Crucis, HR 4656, HD 106490, HIP 59747, TYC 8645-2263-1, Gaia EDR3- 6071060144089351808",https://in-the-sky.org/data/object.php?id=TYC8645-2263-1
Inquill,17.19.5140072,-48.325756,6.67,213.8087,188.9989,-33.443,-211.177,"Inquill, CD−48°11605, HD 156411, HIP 84787, SAO 227825, PPM 322823, NLTT 44550",https://en.wikipedia.org/wiki/HD_156411
Intan,03.20.4269371,-33.43483735,9.92,308.0003,71.8163,292.619,96.116,"Intan, CD−34°1218, HD 20868, HIP 15578, PPM 278952, LTT 1589, 2MASS J03204266-3343484",https://en.wikipedia.org/wiki/HD_20868
Intercrus,09.28.3998867,45.36053311,5.39,129.5174,183.1797,-7.184,-129.318,"Intercrus, 41 Lyn, BD+46 1509, GC 13051, HD 81688, HIP 46471, HR 3743, SAO 42876, CCDM J09287+4536A",https://en.wikipedia.org/wiki/41_Lyncis
Irena,16.15.5036533,10.01572843,9.447,50.0344,218.4822,-31.135,-39.167,"Irena, BD+10°2980, HD 146389, SAO 102042, WASP-38, 2MASS J16155036+1001572",https://en.wikipedia.org/wiki/HD_146389
Itonda,21.57.1984754,-37.4549048,7.47,155.9836,229.6309,101.032,-118.842,"Itonda, CD−38° 14804, HD 208487, HIP 108375, SAO 213432, PPM 302029",https://en.wikipedia.org/wiki/HD_208487
Izar,14.44.59218,27.04272,2.45,54.9953,22.4755,-50.818,21.024,"Izar, Pulcherrima, Mirac, Mirak, Mirach, ε Boo, 36 Boo, BD+27°2417, HIP 72105",https://en.wikipedia.org/wiki/Epsilon_Bo%C3%B6tis
Jabbah,16.11.5974,-19.27383,4.0,24.9136,252.1178,7.65,-23.71,"Jabbah, Nu Scorpii, Nu. Sco, Jabhah, HD 145502, EPIC 205088588, TYC 6209-1537-1, HIP 79374, HR 6027, 14 Scorpii, 14 Sco, BD -19 4333, 2MASS J16115974-1927381, IRAS 16090+1919",https://www.universeguide.com/star/79374/jabbah
Jishui,07.39.0993466,34.35035028,4.9,111.7803,199.8604,-37.975,-105.132,"Jishui, ο Gem, 71 Geminorum, BD+34°1649, FK5 2592, HD 61110, HIP 37265, HR 2930, SAO 60247",https://en.wikipedia.org/wiki/Omicron_Geminorum
Kaewkosin,07.59.0583953,15.23292361,12.33,194.2551,252.9385,-185.706,-56.994,"Kaewkosin, GJ 3470, LP 424-4, NLTT 18739, PM J07590+1523, TIC 19028197, 2MASS J07590587+1523294",https://en.wikipedia.org/wiki/GJ_3470
Kaffaljidhma,02.43.18,3.141,3.57,206.6,225.0,-146.0883,-146.0883,"γ-Cet, Gamma Ceti, 86-Cet, 86 Ceti, HR 804, HD 16970, HIP 12706, TYC 50-1721-1",https://in-the-sky.org/data/object.php?id=TYC50-1721-1
Kaffalmusalsala,23.40.24508,44.200216,4.139,82.2259,193.368,79.998,-19.011,"Kaffalmusalsala, κ And, 19 Andromedae, BD+43°4522, FK5 1619, HD 222439, HIP 116805, HR 8976, SAO 53264, PPM 64525",https://en.wikipedia.org/wiki/Kappa_Andromedae
Kalausi,09.37.118275,-43.1619934,8.23,122.0575,259.7091,21.805,-120.094,"Kalausi, CD–42°5452, GC 13300, HD 83443, HIP 47202, SAO 221348, 2MASS J09371182-4316198",https://en.wikipedia.org/wiki/HD_83443
Kamuy,16.10.0391440,26.44338932,6.57,41.1732,63.5271,-18.354,36.856,"BD+27°2595, HD 145457, HIP 79219, SAO 84223",https://en.wikipedia.org/wiki/HD_145457
Kang,14.12.5374538,-10.1625334,4.18,140.0678,2.967,7.25,139.88,"Kang, 98 Virginis, κ Vir, BD−09°3878, FK5 523, HD 124294, HIP 69427, HR 5315, SAO 158427",https://en.wikipedia.org/wiki/Kappa_Virginis
Karaka,15.35.39921,-80.121654,8.7,64.4149,39.6871,-49.57,41.135,"Karaka, NSV 7116, CPD–79°844, Gaia DR2 5778418870846853888, HD 137388, HIP 76351, 2MASS J15353994-8012164",https://en.wikipedia.org/wiki/HD_137388
Kaus Australis,18.24.10,-34.2303,1.81,130.3,197.6,-39.3988,-124.2007,"Kaus Australis, ε-Sgr, Epsilon Sagittarii, 20-Sgr, 20 Sagittarii, HR 6879, HD 169022, HIP 90185, TYC 7401-3471-1",https://in-the-sky.org/data/object.php?id=TYC7401-3471-1
Kaus Borealis,18.27.58,-25.2521,2.81,190.7,194.0,-46.1345,-185.0354,"Kaus Borealis, λ-Sgr, Lambda Sagittarii, 22-Sgr, 22 Sagittarii, HR 6913, HD 169916, HIP 90496, TYC 6861-3180-1, Gaia EDR3- 4076915349846977664",https://in-the-sky.org/data/object.php?id=TYC6861-3180-1
Kaus Media,18.20.59,-29.4941,2.68,43.0,129.5,33.1799,-27.3514,"Kaus Media, δ-Sgr, Delta Sagittarii, 19-Sgr, 19 Sagittarii, HR 6859, HD 168454, HIP 89931, TYC 6856-2170-1, Gaia EDR3- 4049506483413484672",https://in-the-sky.org/data/object.php?id=TYC6856-2170-1
Kaveh,18.55.4088415,4.15551651,8.02,90.6715,184.3276,-6.842,-90.413,"Kaveh, BD+04°3911, GJ 736, HD 175541, HIP 92895, SAO 124054",https://en.wikipedia.org/wiki/HD_175541
Keid,04.15.16311962,-7.39103308,4.43,4089.8359,213.2107,-2240.085,-3421.809,"Keid, ο2 Eri, 40 Eri, GJ 166, ADS 3093, CCDM J04153-0739, BD−07°780, HD 26965, HIP 19849, HR 1325, SAO 131063, LHS 23, LTT 1907",https://en.wikipedia.org/wiki/40_Eridani
Khambalia,14.19.0659235,-13.22159459,4.52,33.0075,61.1831,-15.91,28.92,"Khambalia, 100 Virginis, λ Vir, BD−12°4018, FK5 1371, HD 125337, HIP 69974, HR 5359, SAO 158489.",https://en.wikipedia.org/wiki/Lambda_Virginis
Kitalpha,21.15.49,5.1452,3.94,111.5,147.5,59.9089,-94.0381,"Kitalpha, α-Equ, Alpha Equulei, 8-Equ, 8 Equulei, HR 8131, HD 202447, HIP 104987, TYC 536-2354-1",https://in-the-sky.org/data/object.php?id=TYC536-2354-1
Kochab,14.50.42,74.0919,2.06,34.6,289.3,-32.6555,11.4358,"Kochab, β-UMi, Beta Ursae Minoris, 7-UMi, 7 Ursae Minoris, HR 5563, HD 131873, NSV 6846, HIP 72607, TYC 4416-1799-1",https://in-the-sky.org/data/object.php?id=TYC4416-1799-1
Koeia,02.46.428869,-23.0511802,10.24,326.6948,64.4378,294.717,140.966,"Koeia, CD−23 1056, HIP 12961, SAO 168043, PPM 245393, LTT 1349, NLTT 8966, TYC 6434-00494-1, 2MASS J02464286-2305119",https://en.wikipedia.org/wiki/HIP_12961
Koit,07.21.331602,58.160511,10.674,17.8638,17.8071,-17.008,5.463,"Koit, TOI-1721, TIC 51234631, TYC 3793-1994-1, GSC 03793-01994, 2MASS J07213317+5816051",https://en.wikipedia.org/wiki/XO-4
Komondor,13.57.334669,43.2936602,12.84,141.8639,251.834,-134.793,-44.229,"Komondor, HAT-P-12, Gaia DR3 1499514786891168640, GSC 03033-00706, 2MASS J13573347+4329367, SDSS J135733.42+432936.5",https://en.wikipedia.org/wiki/HAT-P-12
Kornephoros,16.30.13,21.2922,2.78,99.9,261.4,-98.7768,-14.9386,"Kornephoros, β-Her, Beta Herculis, 27-Her, 27 Herculis, HR 6148, HD 148856, NSV 7778, HIP 80816, TYC 1518-1442-1, Gaia EDR3- 1297565458994346240",https://in-the-sky.org/data/object.php?id=TYC1518-1442-1
Kosjenka,06.17.207485,-38.1923754,11.1,32.404,212.6224,-17.469,-27.292,"Kosjenka, CD−38 2551, TOI-483, WASP-63, TYC 7612-556-1, GSC 07612-00556, 2MASS J06172074-3819237",https://en.wikipedia.org/wiki/WASP-63
Kraz,12.34.23,-23.2349,2.66,56.7,178.9,1.0885,-56.6896,"β-Crv, Beta Corvi, 9-Crv, 9 Corvi, HR 4786, HD 109379, NSV 5729, HIP 61359, TYC 6683-1116-1, Gaia EDR3- 3501215734352781440",https://in-the-sky.org/data/object.php?id=TYC6683-1116-1
Kui,00.57.12400,23.250354,4.403,62.4309,223.5423,-43.008,-45.254,"Kui, η Andromedae, η And, Eta And, 38 Andromedae, 38 And, BD+22°153, FK5 2060, GC 1136, HD 5516, HIP 4463, HR 271, SAO 74388, PPM 90327, CCDM J00572+2325A, WDS 00572+2325A/Aa",https://en.wikipedia.org/wiki/Eta_Andromedae
Kulou,13.20.35,-36.4244,2.72,351.8,255.8,-341.0509,-86.2991,"ι-Cen, Iota Centauri, HR 5028, HD 115892, HIP 65109, TYC 7275-2074-1",https://in-the-sky.org/data/object.php?id=TYC7275-2074-1
Kurhah,22.03.4745499,64.37407128,4.45,233.9122,67.0896,215.46,91.06,"17 Cephei, BD+63°1802, CCDM J22038+2407, HIP 108917, HR 8417, SAO 19827, WDS J22038+6438",https://simbad.cds.unistra.fr/simbad/sim-id?Ident=HR+8417
La Superba,12.45.07826,45.262493,4.86,13.3959,77.1993,-2.968,13.063,"La Superba, Y Canum Venaticorum, HR 4846, HD 110914, BD+46°1817, FK5 1327, HIP 62223, SAO 44317, GC 17342, 152 Schjellerup",https://en.wikipedia.org/wiki/La_Superba
Lang-exster,22.18.30,-60.1534,2.85,81.0,240.9,-70.7756,-39.3932,"α-Tuc, Alpha Tucanae, HR 8502, HD 211416, HIP 110130, TYC 9117-1947-1",https://in-the-sky.org/data/object.php?id=TYC9117-1947-1
Larawag,16.50.09,-34.1735,2.27,666.0,247.4,-614.858,-255.9407,"ε-Sco, Epsilon Scorpii, 26-Sco, 26 Scorpii, HR 6241, HD 151680, NSV 7983, HIP 82396, TYC 7367-804-1",https://in-the-sky.org/data/object.php?id=TYC7367-804-1
Leepwal,13.55.32,-47.1717,2.53,72.6,232.2,-57.3653,-44.4971,"ζ-Cen, Zeta Centauri, HR 5231, HD 121263, HIP 68002, TYC 8267-3545-1",https://in-the-sky.org/data/object.php?id=TYC8267-3545-1
Lerna,09.01.226491794664,6.055013869568,12.168,33.4098,185.262,-3.064,-33.269,"Lerna, HAT-P-42, 2MASS : J09012265+0605500, GSC 00232-01451",https://simbad.u-strasbg.fr/simbad/sim-id?Ident=HAT-P-42
Lesath,17.30.45,-37.1744,2.64,30.2,184.5,-2.3695,-30.1069,"Lesath, υ-Sco, Upsilon Scorpii, 34-Sco, 34 Scorpii, HR 6508, HD 158408, HIP 85696, TYC 7387-1249-1",https://in-the-sky.org/data/object.php?id=TYC7387-1249-1
Libertas,19.54.148815,8.2741235,4.722,130.0982,218.5861,101.694,-81.141,"Libertas, ξ Aquilae, Xi Aql, ξ Aql, 59 Aquilae, BD+08 4261, GC 27558, HD 188310, HIP 97938, HR 7595, SAO 125210, PPM 168913, WDS J19542+0828AB",https://en.wikipedia.org/wiki/Xi_Aquilae
Lich,13.00.031075,12.4055155,12.74,96.745,241.313,46.44,-84.87,"PSR 1257+12, PSR J1300+1240, PSR 1300+1240","https://simbad.cds.unistra.fr/simbad/sim-id?Ident=PSR+B1257%2B12 , https://www.exoplanetkyoto.org/exohtml/PSR_B1257+12.html"
Liesma,13.34.025394,53.4342698,8.06,116.5906,227.4196,-85.849,-78.888,"Liesma, BD+54°1609, HD 118203, HIP 66192, SAO 28802, TOI-1271, TIC 286923464, TYC 3850-458-1",https://en.wikipedia.org/wiki/HD_118203
Lilii Borea,02.47.5454142,29.14496132,4.514,196.1708,220.3646,149.47,-127.05,"Lilii Borea, BD+28°462, HD 17361, HIP 13061, HR 824, SAO 75578.",https://en.wikipedia.org/wiki/39_Arietis
Lionrock,22.27.03072,-17.1549164,7.6,134.9154,219.5414,-85.892,-104.042,"BD−17°6526, HD 212771, HIP 110813, SAO 165086",https://en.wikipedia.org/wiki/HD_212771
Lucilinburhuc,06.28.4571108,38.57466665,7.89,68.6655,218.5029,-42.748,-53.736,"Lucilinburhuc, BD+39°1637, HD 45350, HIP 30860, SAO 591265, PPM 71672, TYC 2927-323-1, GSC 02927-00323",https://en.wikipedia.org/wiki/HD_45350
Lusitânia,06.29.1319200,10.56020059,8.1,215.4861,196.8744,206.208,-62.55,"Lusitânia, BD+11 1197, GC 8415, HD 45652, HIP 30905, SAO 95735, NLTT 16570",https://en.wikipedia.org/wiki/HD_45652
Maasym,17.30.443098,26.0638324,4.41,24.7928,49.2493,18.782,16.184,"λ Her, 76 Herculis, BD+26°3034, FK5 1460, HD 158899, HIP 85693, HR 6526, SAO 249461",https://en.wikipedia.org/wiki/Lambda_Herculis
Macondo,10.44.2091501,-33.3437288,8.3,178.1051,211.3399,-92.635,-152.119,"Macondo, CD−32°7598, GJ 1137, HD 93083, HIP 52521, SAO 201693, PPM 288057, GSC 07190-02048",https://en.wikipedia.org/wiki/HD_93083
Mago,05.09.36720,69.382185,6.42,87.2714,225.6272,61.031,-62.382,"Mago, AG+69°241, BD+69°302, GC 6245, HD 32518, HIP 24003, HR 1636, SAO 13382",https://en.wikipedia.org/wiki/HD_32518
Mahasim,05.59.43,37.1246,2.65,85.7,149.4,43.6248,-73.7656,"θ-Aur, Theta Aurigae, 37-Aur, 37 Aurigae, HR 2095, HD 40312, HIP 28380, TYC 2418-1573-1",https://in-the-sky.org/data/object.php?id=TYC2418-1573-1
Mahsati,16.53.435825748619,11.5825489473888,8.35,18.8818,232.3065,11.545,-14.941,"Mahsait, HD 152581, BD+12 3012, HIP 82651, SAO 102455",https://simbad.u-strasbg.fr/simbad/sim-id?Ident=HD+152581
Maia,03.45.49,24.2203,3.86,49.5,156.8,19.5001,-45.4972,"Maia, 20-Tau, 20 Tauri, HR 1149, HD 23408, NSV 1279, HIP 17573, TYC 1799-1439-1, Gaia EDR3- 65283232316451328",https://in-the-sky.org/data/object.php?id=TYC1799-1439-1
Malmok,14.29.184,-3.264,12.11,19.0559,1.0381,-19.0528,0.345245,"Malmok, WASP-39",https://exoplanetarchive.ipac.caltech.edu/overview/WASP-39
Marfik,16.30.5482314,1.59021209,3.82,79.6885,202.8776,-30.98,-73.42,"λ Oph, 10 Oph, NSV 7784, BD+02°3118, HD 148857, HIP 80883, HR 6149, SAO 121658, ADS 10087, WDS 16309+0159",https://en.wikipedia.org/wiki/Lambda_Ophiuchi
Markab,23.04.45,15.1219,2.49,73.2,124.4,60.3983,-41.3556,"Markab, α-Peg, Alpha Pegasi, 54-Peg, 54 Pegasi, HR 8781, HD 218045, NSV 14417, HIP 113963, TYC 1711-2475-1",https://in-the-sky.org/data/object.php?id=TYC1711-2475-1
Markeb,09.22.06,-55.0038,2.48,16.2,315.3,-11.395,11.515,"κ-Vel, Kappa Velorum, HR 3734, HD 81188, HIP 45941, TYC 8588-4200-1, Gaia EDR3- 5310393535853560576",https://in-the-sky.org/data/object.php?id=TYC8588-4200-1
Marsic,16.08.0495406,17.03156853,6.25,31.7963,217.7471,-19.465,-25.142,"Marsic, κ Her, 7 Herculis, CCDM J16081+1703, NSV 7471, AAVSO 1603+17, WDS 16081+1703",https://en.wikipedia.org/wiki/Kappa_Herculis
