Common Name,Alternative Names,Right Ascension,Declination,Magnitude (Visual),"Proper Motion (Speed, mas/yr)","Proper Motion (Angle, Degrees)",URL
Fulu,"ζ-Cas, Zeta Cassiopeiae, 17-Cas, 17 Cassiopeiae, HR 153, HD 3360, NSV 225, HIP 2920, TYC 3654-2132-1, Gaia EDR3- 418001477279154304",00.36.58,+53.5348,3.68,19.9,118.6,https://in-the-sky.org/data/object.php?id=TYC3654-2132-1
Nashira,"Nashira, γ-Cap, Gamma Capricorni, 40-Cap, 40 Capricorni, HR 8278, HD 206088, HIP 106985, TYC 6362-1078-1",21.40.05,-16.3944,3.68,188.9,96.8,https://in-the-sky.org/data/object.php?id=TYC6362-1078-1
Taiyangshou,"χ-UMa, Chi Ursae Majoris, 63-UMa, 63 Ursae Majoris, HR 4518, HD 102224, NSV 5319, HIP 57399, TYC 3452-2140-1, Gaia EDR3- 786420645182229504",11.46.02,+47.4646,3.69,141.2,281.7,https://in-the-sky.org/data/object.php?id=TYC3452-2140-1
Electra,"Electra, 17-Tau, 17 Tauri, HR 1142, HD 23302, HIP 17499, TYC 1799-1441-1, Gaia EDR3- 65271996684817280",03.44.52,+24.0647,3.71,50.5,156.0,https://in-the-sky.org/data/object.php?id=TYC1799-1441-1
Alshain,"Alshain, β-Aql, Beta Aquilae, 60-Aql, 60 Aquilae, HR 7602, HD 188512, NSV 12557, HIP 98036, TYC 493-3355-1, Gaia EDR3- 4296708789290712064",19.55.18,+06.2416,3.72,483.2,174.5,https://in-the-sky.org/data/object.php?id=TYC493-3355-1
Ran,"Ran, ε-Eri, Epsilon Eridani, 18-Eri, 18 Eridani, HR 1084, HD 22049, HIP 16537, TYC 5296-1533-1",03.32.55,-09.2729,3.72,975.4,271.1,https://in-the-sky.org/data/object.php?id=TYC5296-1533-1
Grumium,"Grumium, ξ-Dra, Xi Draconis, 32-Dra, 32 Draconis, HR 6688, HD 163588, HIP 87585, TYC 3910-1710-1, Gaia EDR3- 1421593566062037120",17.53.31,+56.5222,3.73,122.5,49.9,https://in-the-sky.org/data/object.php?id=TYC3910-1710-1
Baten Kaitos,"Baten Kaitos, ζ-Cet, Zeta Ceti, 55-Cet, 55 Ceti, HR 539, HD 11353, NSV 638, HIP 8645, TYC 5278-2437-1",01.51.27,-10.2006,3.73,55.2,132.4,https://in-the-sky.org/data/object.php?id=TYC5278-2437-1
Albali,"Albali, ε-Aqr, Epsilon Aquarii, 2-Aqr, 2 Aquarii, HR 7950, HD 198001, HIP 102618, TYC 5760-1997-1, Gaia EDR3- 6903096911032851584",20.47.40,-09.2945,3.76,48.7,135.8,https://in-the-sky.org/data/object.php?id=TYC5760-1997-1
Secunda Hyadum,"δ-Tau, Delta Tauri, 61-Tau, 61 Tauri, HR 1373, HD 27697, NSV 1582, HIP 20455, TYC 1268-1267-1, Gaia EDR3- 3314024566919613952",04.22.56,+17.3232,3.76,109.8,104.6,https://in-the-sky.org/data/object.php?id=TYC1268-1267-1
Miram,"η-Per, Eta Persei, 15-Per, 15 Persei, HR 834, HD 17506, HIP 13268, TYC 3704-1332-1, Gaia EDR3- 454491381981202944",02.50.41,+55.5343,3.76,21.2,129.6,https://in-the-sky.org/data/object.php?id=TYC3704-1332-1
Saclateni,"ζ-Aur, Zeta Aurigae, 8-Aur, 8 Aurigae, HR 1612, HD 32068, HIP 23453, TYC 2899-2236-1",05.02.28,+41.0433,3.77,22.8,155.5,https://in-the-sky.org/data/object.php?id=TYC2899-2236-1
Sualocin,"Sualocin, α-Del, Alpha Delphini, 9-Del, 9 Delphini, HR 7906, HD 196867, NSV 13207, HIP 101958, TYC 1633-2442-1",20.39.38,+15.5443,3.78,54.5,81.1,https://in-the-sky.org/data/object.php?id=TYC1633-2442-1
Misam,"κ-Per, Kappa Persei, 27-Per, 27 Persei, HR 941, HD 19476, NSV 1055, HIP 14668, TYC 2859-2274-1",03.09.29,+44.5127,3.79,224.7,129.7,https://in-the-sky.org/data/object.php?id=TYC2859-2274-1
Praecipua,"46-LMi, 46 Leonis Minoris, HR 4247, HD 94264, NSV 4999, HIP 53229, TYC 2521-2271-1",10.53.18,+34.1253,3.79,300.3,162.2,https://in-the-sky.org/data/object.php?id=TYC2521-2271-1
Theemin,"υ²-Eri, Upsilon2 Eridani, 52-Eri, 52 Eridani, HR 1464, HD 29291, HIP 21393, TYC 7038-1509-1, Gaia EDR3- 4878631812268014464",04.35.32,-30.3344,3.81,51.0,255.8,https://in-the-sky.org/data/object.php?id=TYC7038-1509-1
Giausar,"λ-Dra, Lambda Draconis, 1-Dra, 1 Draconis, HR 4434, HD 100029, NSV 5231, HIP 56211, TYC 4392-1805-1, Gaia EDR3- 1061909811871141504",11.31.24,+69.1951,3.81,45.3,245.4,https://in-the-sky.org/data/object.php?id=TYC4392-1805-1
Polis,"μ-Sgr, Mu Sagittarii, 13-Sgr, 13 Sagittarii, HR 6812, HD 166937, HIP 89341, TYC 6276-3093-1, Gaia EDR3- 4093933487636355968",18.13.45,-21.0331,3.84,0.6,148.0,https://in-the-sky.org/data/object.php?id=TYC6276-3093-1
Sadachbia,"Sadachbia, γ-Aqr, Gamma Aquarii, 48-Aqr, 48 Aquarii, HR 8518, HD 212061, NSV 14132, HIP 110395, TYC 5226-1606-1",22.21.39,-01.2314,3.85,129.8,86.6,https://in-the-sky.org/data/object.php?id=TYC5226-1606-1
Iklil,"ρ-Sco, Rho Scorpii, 5-Sco, 5 Scorpii, HR 5928, HD 142669, HIP 78104, TYC 6791-2509-1, Gaia EDR3- 6041076668127513984",15.56.53,-29.1251,3.85,29.1,215.7,https://in-the-sky.org/data/object.php?id=TYC6791-2509-1
Maia,"Maia, 20-Tau, 20 Tauri, HR 1149, HD 23408, NSV 1279, HIP 17573, TYC 1799-1439-1, Gaia EDR3- 65283232316451328",03.45.49,+24.2203,3.86,49.5,156.8,https://in-the-sky.org/data/object.php?id=TYC1799-1439-1
Zaniah,"Zaniah, η-Vir, Eta Virginis, 15-Vir, 15 Virginis, HR 4689, HD 107259, NSV 5555, HIP 60129, TYC 4940-1158-1",12.19.54,-00.4000,3.87,62.8,246.4,https://in-the-sky.org/data/object.php?id=TYC4940-1158-1
Rasalas,"Rasalas, μ-Leo, Mu Leonis, 24-Leo, 24 Leonis, HR 3905, HD 85503, HIP 48455, TYC 1964-1473-1, Gaia EDR3- 643819484617141504",09.52.45,+26.0024,3.88,223.2,255.7,https://in-the-sky.org/data/object.php?id=TYC1964-1473-1
Ukdah,"ι-Hya, Iota Hydrae, 35-Hya, 35 Hydrae, HR 3845, HD 83618, NSV 4568, HIP 47431, TYC 4894-2529-1, Gaia EDR3- 3827873938815011200",09.39.51,-01.0835,3.89,77.8,143.5,https://in-the-sky.org/data/object.php?id=TYC4894-2529-1
Azha,"Azha, η-Eri, Eta Eridani, 3-Eri, 3 Eridani, HR 874, HD 18322, NSV 988, HIP 13701, TYC 5287-1076-1, Gaia EDR3- 5173421634271199104",02.56.25,-08.5356,3.90,232.7,160.4,https://in-the-sky.org/data/object.php?id=TYC5287-1076-1
Sceptrum,"l-Eri, l Eridani, 53-Eri, 53 Eridani, HR 1481, HD 29503, HIP 21594, TYC 5327-1434-1",04.38.10,-14.1814,3.90,192.7,203.4,https://in-the-sky.org/data/object.php?id=TYC5327-1434-1
Atik,"Atik, O-Per, Omicron Persei, 38-Per, 38 Persei, HR 1131, HD 23180, HIP 17448, TYC 2359-1258-1, Gaia EDR3- 216718178536050176",03.44.19,+32.1717,3.91,11.5,148.0,https://in-the-sky.org/data/object.php?id=TYC2359-1258-1
Dalim,"α-For, Alpha Fornacis, HR 963, HD 20010, NSV 1074, HIP 14879, TYC 6445-990-1",03.12.04,-28.5920,3.92,715.0,31.2,https://in-the-sky.org/data/object.php?id=TYC6445-990-1
Zubenelhakrabi,"γ-Lib, Gamma Librae, 38-Lib, 38 Librae, HR 5787, HD 138905, HIP 76333, TYC 5608-1381-1, Gaia EDR3- 6265374394490973184",15.35.31,-14.4722,3.92,65.1,83.1,https://in-the-sky.org/data/object.php?id=TYC5608-1381-1
Asellus Australis,"Asellus Australis, δ-Cnc, Delta Cancri, 47-Cnc, 47 Cancri, HR 3461, HD 74442, HIP 42911, TYC 1396-2758-1, Gaia EDR3- 660136821288588416",08.44.41,+18.0911,3.93,228.6,184.6,https://in-the-sky.org/data/object.php?id=TYC1396-2758-1
Rukbat,"Rukbat, α-Sgr, Alpha Sagittarii, HR 7348, HD 181869, HIP 95347, TYC 7935-2139-1, Gaia EDR3- 6713727061309245952",19.23.53,-40.3659,3.94,124.2,165.2,https://in-the-sky.org/data/object.php?id=TYC7935-2139-1
Kitalpha,"Kitalpha, α-Equ, Alpha Equulei, 8-Equ, 8 Equulei, HR 8131, HD 202447, HIP 104987, TYC 536-2354-1",21.15.49,+05.1452,3.94,111.5,147.5,https://in-the-sky.org/data/object.php?id=TYC536-2354-1
Arkab Prior,"Arkab Prior, β¹-Sgr, Beta1 Sagittarii, HR 7337, HD 181454, HIP 95241, TYC 7943-2105-1",19.22.38,-44.2732,3.94,23.4,144.3,https://in-the-sky.org/data/object.php?id=TYC7943-2105-1
